LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
5.9634607,49.6978909,4,Laangefuert,,Septfontaines,,,8396,182416,502a6a0dda51f6eb
6.0145235,49.6308908,45,Rue des Eglantiers,,Mamer,,,8227,38691,fdeb6484820b3b7f
5.8822836,49.8990208,14,Burwiss,,Insenborn,,,9660,219545,654f6efeb2b7fe92
5.9572293,49.5789451,6,Rue Charly Gaul,,Schouweiler,,,4968,224183,9841941742670334
6.0628092,50.0542163,10A,Haaptstrooss,,Marnach,,,9764,128520,1426727c4c4ca743
6.2843257,49.5696292,2,Rue de Canach,,Roedt,,,5442,173661,6dfbc3c3d0133243
6.0106926,49.5046166,19,Rue de l'Eglise,,Schifflange,,,3833,94954,593e8a4e4d5c0d15
6.1629809,49.5643009,489,Route de Thionville,,Alzingen,,,5887,100078,44e16e4b170d3935
6.0751735,49.6152278,6,Rue de la Grève,,Strassen,,,8020,112657,a0121d7aeb2f9ea9
5.9133547,49.5630332,23,Rue Pierre Clement,,Bascharage,,,4916,28309,5974e0dc4908667b
6.0186432,49.5069155,6,Rue de Noertzange,,Schifflange,,,3860,95306,8797f0f2c47c0dd4
5.84062,49.5449966,4,Rue de l'Ecole,,Rodange,,,4813,81106,3beaefc3d5e60822
6.0988413,49.8483635,42,Rue Pierre Wiser,,Ettelbruck,,,9092,181370,56345276d6e737e6
6.1580174,49.6073955,8,Rue Eugène Wolff,,Luxembourg,,,2736,19217,e458cb09eb7a28b4
6.4454324,49.6784008,10,Route du Vin,,Grevenmacher,,,6794,161264,e110d5f7d4131797
6.0930622,49.7203163,1A,Rue de Keispelt,,Schoenfels,,,7473,195439,75e6ba5f3d625461
6.0851664,49.4799366,86,Avenue Grande-Duchesse Charlotte,,Dudelange,,,3440,53615,e8d7ba75b1a5e7b1
6.2042074,49.5455827,5,Rue des Bleuets,,Weiler-la-Tour,,,5776,230256,a86f6b91578e36b6
6.0159519,50.1333089,1,An der Driicht,,Drinklange,,,9952,175954,b06ab5a1479650d9
5.9060466,50.0196225,13,Maison,,Brachtenbach,,,9641,188116,aace5a43c26abf48
5.944022,49.5156806,54,Rue Michel Rodange,,Belvaux,,,4482,88969,920ef20f6a239ed0
6.087804,50.013757,3,Cité Thiergart,,Hosingen,,,9807,127976,f36dbc5d35e09aad
6.2102736,49.5515721,11,Rue an den Achten,,Hassel,,,5761,186769,89547d57310fa921
6.1710013,49.585494,12,Rue de Hesperange,,Itzig,,,5959,104025,99299cb1fe6ae7cf
6.2523244,49.6897988,24,Cité Gringert,,Gonderange,,,6187,163929,be8fea52a021fef2
6.0898506,49.6154163,128,Rue du Kiem,,Strassen,,,8030,113620,acd6024874b8572d
6.0011094,49.6435167,4,Rue Hireknapp,,Capellen,,,8326,197274,2bf656e9f409d8ef
6.201442,49.5422667,11,Rue Emil Marx,,Weiler-la-Tour,,,5775,214993,0062345821b8d909
6.0717417,49.6654371,3,Rue du Moulin,,Kopstal,,,8187,232504,0f2483410c682fdf
6.0995092,49.6097056,273,Avenue Gaston Diderich,,Luxembourg,,,1420,1048,96c28202ad4aa596
6.2673505,49.5051322,18A,Rue du Moulin,,Mondorf-les-Bains,,,5638,171241,671d6cff9941a716
6.1502028,49.8696655,21,Rue du Kockelberg,,Diekirch,,,9252,132482,5a3cd44e3a1a4adb
6.1393963,49.5848895,29,Rue du 9 mai 1944,,Howald,,,2112,103205,586d8a57c54a55f6
6.059855,49.6932659,9,Rue Kosselt,,Meispelt,,,8292,34336,dd17b56807bcce0d
6.1309526,49.6695809,4,Rue Tony Erpelding,,Heisdorf,,,7349,110587,35c864c0f82fdefc
5.9152786,49.5191006,26,Rue Léon Kauffman,,Soleuvre,,,4405,189658,9978587ff1a69204
5.8932056,49.5080867,30,Rue Dalscheidt,,Oberkorn,,,4538,47493,e069ae385defd7ec
